H2S,N2,CO2,C1,C2,C3,C4,C5,C6,C7+,MWC7+,Temp,Psat
0.000400,0.006800,0.010200,0.254900,0.063700,0.065300,0.051500,0.048800,0.038100,0.460300,264.000000,329.816667,104.285714
0.000000,0.006000,0.029000,0.551000,0.084000,0.057000,0.034000,0.021000,0.016000,0.202600,400.267813,414.150000,346.200000
0.000000,0.002200,0.004400,0.402800,0.048300,0.057300,0.043000,0.029800,0.025900,0.386300,152.791144,369.000000,159.000000
0.000000,0.001100,0.002800,0.275300,0.069000,0.058700,0.044200,0.024700,0.035200,0.489000,245.000000,330.372222,104.761905
0.000000,0.004400,0.003800,0.490800,0.076000,0.061300,0.038400,0.025200,0.020000,0.280300,231.000000,365.927778,267.074830
0.000000,0.005600,0.035500,0.453400,0.054800,0.037000,0.023500,0.016000,0.013300,0.361200,253.000000,365.927778,264.285714
0.000000,0.016000,0.016000,0.351000,0.011000,0.008000,0.020000,0.030000,0.056000,0.492000,219.000000,407.594444,148.299320
0.000000,0.002100,0.007200,0.331200,0.074400,0.060700,0.032200,0.017900,0.030500,0.443800,271.000000,333.150000,117.687075
0.000000,0.005500,0.010300,0.364700,0.093300,0.088500,0.060000,0.037800,0.035600,0.304300,200.000000,385.372222,186.802721
0.000000,0.001500,0.006500,0.304800,0.072700,0.051500,0.020400,0.019600,0.027600,0.495400,239.000000,327.594444,113.605442
0.014000,0.007700,0.019900,0.173800,0.064200,0.076200,0.056200,0.045300,0.051400,0.491300,267.000000,385.372222,80.952381
0.006000,0.002400,0.015300,0.131600,0.063800,0.076200,0.067700,0.056500,0.063700,0.516800,275.000000,361.277778,78.600230
0.019300,0.001700,0.006500,0.125900,0.060500,0.065100,0.042600,0.045200,0.011400,0.621800,230.000000,388.150000,101.360544
0.000000,0.005300,0.018100,0.208800,0.212921,0.354379,0.158306,0.030394,0.008300,0.003500,100.202000,323.200000,65.250000
0.000000,0.002700,0.018600,0.312530,0.071610,0.069510,0.064000,0.053900,0.042600,0.364540,196.999368,397.050000,158.800000
0.000000,0.005600,0.000700,0.299000,0.078400,0.069800,0.060500,0.028400,0.026600,0.431000,242.000000,329.261111,112.448980
0.000000,0.000000,0.006800,0.487900,0.105700,0.062100,0.034600,0.045600,0.028000,0.248000,218.000000,383.150000,253.741497
0.000000,0.000000,0.000000,0.520000,0.038100,0.023700,0.017200,0.012000,0.020100,0.368400,199.000000,367.038889,260.408163
0.000000,0.001500,0.003900,0.275500,0.078600,0.063000,0.035900,0.025800,0.036800,0.479000,152.000000,328.705556,93.877551
0.000000,0.006000,0.004000,0.240000,0.014000,0.028000,0.030000,0.028000,0.079000,0.570000,231.000000,363.150000,74.149660
0.000000,0.004400,0.008300,0.277500,0.075400,0.069000,0.046100,0.031000,0.031100,0.457200,272.000000,329.261111,106.462585
0.000000,0.001600,0.003000,0.246600,0.075100,0.069200,0.047600,0.026500,0.034300,0.496100,239.000000,329.816667,95.238095
0.000000,0.000600,0.008100,0.313400,0.074200,0.056800,0.028200,0.016300,0.026400,0.476000,270.000000,328.705556,119.115646
0.014000,0.007700,0.019900,0.173800,0.064200,0.076200,0.056200,0.045300,0.051400,0.491300,267.000000,385.722222,82.047608
0.000000,0.003400,0.014800,0.256100,0.000400,0.000200,0.000500,0.000400,0.003300,0.720900,533.600000,322.150000,63.100000
0.000000,0.009000,0.001400,0.387800,0.020300,0.060000,0.000600,0.000001,0.000400,0.579900,296.000000,328.150000,192.842441
0.000000,0.002900,0.004800,0.283600,0.082900,0.073800,0.050600,0.034200,0.044100,0.423100,252.000000,329.261111,111.020408
0.000000,0.013800,0.068800,0.274200,0.056400,0.057800,0.052600,0.063200,0.050600,0.362400,246.591551,326.000000,127.000000
0.000000,0.000400,0.007800,0.409100,0.107200,0.066400,0.044400,0.026200,0.025100,0.313400,202.000000,389.261111,212.244898
0.000000,0.002900,0.004800,0.283600,0.082900,0.073800,0.050600,0.034200,0.044100,0.423100,252.000000,329.261111,111.020408
0.003000,0.000100,0.008900,0.396800,0.103700,0.071800,0.044700,0.030900,0.027500,0.315300,197.000000,390.722222,211.048512
0.000000,0.002000,0.004900,0.294600,0.085100,0.066300,0.039700,0.033700,0.037900,0.435900,145.800000,330.372222,102.040816
0.000000,0.002400,0.002700,0.668300,0.082800,0.051500,0.033100,0.020400,0.018500,0.120300,182.000000,374.816667,327.210884
0.000000,0.000000,0.003700,0.228900,0.005900,0.014100,0.014800,0.010600,0.024100,0.697900,167.000000,335.927778,88.231293
0.006800,0.003200,0.036900,0.215500,0.086000,0.076600,0.064000,0.050700,0.026200,0.434100,243.000000,388.150000,108.299320
0.000000,0.016400,0.000800,0.284000,0.071600,0.104800,0.084000,0.038200,0.040500,0.359700,252.000000,328.150000,115.238095
0.000000,0.000700,0.004400,0.330400,0.045600,0.009000,0.012200,0.006900,0.031000,0.559800,285.100000,345.150000,150.223040
0.000000,0.002200,0.013700,0.279200,0.065100,0.051600,0.025200,0.015800,0.025900,0.521300,255.000000,330.372222,105.306122
0.000000,0.012520,0.008970,0.375430,0.054760,0.041960,0.040060,0.032350,0.027340,0.406610,212.374252,377.550000,171.000000
0.000000,0.002100,0.001500,0.277700,0.076800,0.061900,0.034100,0.018100,0.028400,0.499400,228.000000,329.816667,108.163265
0.000000,0.003500,0.004700,0.265200,0.077100,0.060500,0.040300,0.040800,0.042200,0.465700,253.000000,330.372222,102.040816
0.000000,0.000700,0.000600,0.420600,0.015605,0.001995,0.003198,0.004302,0.005600,0.547400,277.064425,330.400000,175.500000
0.000000,0.005600,0.035500,0.453400,0.054800,0.037000,0.023500,0.016000,0.013300,0.361200,255.000000,365.927778,264.285714
0.000000,0.001700,0.018700,0.299400,0.072400,0.072300,0.067600,0.055400,0.044500,0.368000,197.982772,397.050000,148.100000
0.000000,0.003400,0.071000,0.484300,0.092400,0.058400,0.043900,0.032100,0.022800,0.191700,183.000000,429.816667,277.687075
0.003550,0.004000,0.025480,0.472440,0.069370,0.048050,0.042530,0.034050,0.028770,0.271760,214.209832,394.250000,245.700000
0.000000,0.004100,0.004400,0.404800,0.077400,0.082000,0.054500,0.036400,0.028300,0.314200,210.000000,370.927778,196.326531
0.000000,0.001600,0.016602,0.325633,0.078408,0.078308,0.068507,0.054805,0.042004,0.334133,199.762044,393.750000,157.900000
0.000000,0.004400,0.003800,0.491000,0.076000,0.061300,0.038400,0.025200,0.020000,0.280000,231.000000,365.927778,254.353741
